Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate,LastGameDate,DaysSinceLastGame,LastUpdateDate
Jalen Smith,25.6,CHI,Big,137.0,72.0,9.5,21.0,93.0,13.3,69.0,+2.7%,44.0,+0.1%,97.0,+9.0%,72.0,2.8,34.0,3.8,51.0,+0.0%,79.0,+2.1%,27.0,+2.4%,3.0,10.9,2025-11-28,5.0,2025-12-03
Devin Vassell,25.2,SAS,Wing,308.0,98.0,29.8,59.0,91.0,12.3,91.0,+7.1%,38.0,+0.5%,66.0,+1.7%,59.0,1.1,96.0,-17.5,96.0,-8.2%,90.0,+3.5%,20.0,+3.9%,77.0,-4.3,2025-12-02,1.0,2025-12-03
Aaron Nesmith,26.0,IND,Wing,282.0,78.0,11.9,18.0,78.0,7.7,67.0,+2.4%,60.0,-0.9%,89.0,+5.8%,89.0,6.8,64.0,-4.2,33.0,+2.1%,94.0,+4.4%,69.0,-2.8%,61.0,-1.4,2025-11-13,20.0,2025-12-03
Cole Anthony,25.5,MIL,Point,184.0,61.0,5.7,14.0,30.0,-4.3,24.0,-2.8%,39.0,+0.4%,79.0,+3.9%,18.0,-4.5,87.0,-10.0,74.0,-3.0%,70.0,+1.2%,49.0,+0.0%,82.0,-5.3,2025-12-01,2.0,2025-12-03
Isaiah Stewart,24.4,DET,Big,203.0,23.0,-9.2,-19.0,20.0,-6.4,23.0,-3.2%,78.0,-2.0%,16.0,-4.5%,26.0,-2.8,36.0,2.9,55.0,-0.5%,10.0,-3.1%,48.0,+0.1%,89.0,-7.7,2025-12-01,2.0,2025-12-03
Saddiq Bey,26.6,NOP,Forward,226.0,56.0,4.6,7.0,61.0,3.4,42.0,-0.3%,65.0,-1.2%,59.0,+0.5%,27.0,-2.7,50.0,-1.2,83.0,-4.2%,32.0,-1.5%,68.0,-2.6%,22.0,4.3,2025-12-02,2.0,2025-12-04
Tyrese Maxey,25.0,PHI,Point,410.0,90.0,17.8,39.0,86.0,9.5,59.0,+1.4%,100.0,-7.4%,38.0,-1.8%,98.0,11.3,80.0,-8.3,91.0,-5.8%,30.0,-1.6%,29.0,+1.8%,100.0,-16.3,2025-12-02,2.0,2025-12-04
Immanuel Quickley,26.4,TOR,Point,314.0,6.0,-18.7,-38.0,9.0,-10.9,45.0,-0.0%,67.0,-1.3%,10.0,-6.2%,32.0,-2.1,19.0,7.8,32.0,+2.3%,17.0,-2.3%,9.0,+6.1%,90.0,-8.1,2025-12-02,2.0,2025-12-04
Payton Pritchard,27.8,BOS,Point,352.0,85.0,15.3,35.0,84.0,9.0,78.0,+3.7%,25.0,+1.6%,83.0,+4.4%,79.0,3.9,75.0,-6.3,80.0,-3.6%,25.0,-2.0%,63.0,-2.1%,59.0,-1.1,2025-12-02,2.0,2025-12-04
Jaden McDaniels,25.1,MIN,Wing,310.0,61.0,5.8,12.0,77.0,7.4,92.0,+7.1%,81.0,-2.4%,2.0,-9.6%,36.0,-1.7,40.0,1.7,53.0,-0.2%,52.0,-0.1%,13.0,+5.3%,55.0,-0.9,2025-12-02,2.0,2025-12-04
Desmond Bane,27.4,ORL,Combo,303.0,47.0,0.8,2.0,41.0,-1.1,62.0,+1.6%,8.0,+3.1%,38.0,-1.9%,74.0,3.1,54.0,-1.9,64.0,-1.8%,11.0,-3.1%,85.0,-5.6%,42.0,1.0,2025-12-01,2.0,2025-12-03
Tre Jones,25.8,CHI,Combo,265.0,9.0,-16.8,-37.0,9.0,-10.7,2.0,-8.7%,18.0,+2.1%,84.0,+5.2%,74.0,3.2,24.0,6.1,46.0,+0.4%,73.0,+1.4%,16.0,+4.8%,20.0,4.5,2025-12-01,2.0,2025-12-03
Isaiah Joe,26.3,OKC,Wing,128.0,54.0,4.1,4.0,67.0,5.4,38.0,-1.2%,98.0,-5.6%,25.0,-3.1%,65.0,1.8,42.0,1.2,56.0,-0.7%,93.0,+4.1%,12.0,+5.5%,26.0,3.4,2025-12-02,3.0,2025-12-05
Sam Merrill,29.5,CLE,Wing,175.0,87.0,17.0,34.0,93.0,13.7,96.0,+8.3%,58.0,-0.6%,13.0,-4.9%,80.0,4.1,62.0,-3.3,69.0,-2.4%,19.0,-2.1%,83.0,-5.2%,10.0,6.9,2025-11-17,16.0,2025-12-03
Naji Marshall,27.8,DAL,Wing,245.0,33.0,-4.8,-11.0,48.0,0.3,46.0,+0.0%,33.0,+0.9%,53.0,-0.2%,98.0,12.4,29.0,5.0,57.0,-0.8%,46.0,-0.5%,42.0,+0.7%,16.0,5.2,2025-12-01,2.0,2025-12-03
